Nr zamówienia;Data sprzedaży;Nazwa produktu;Kategoria;Ilość;Wartość brutto;Koszt zakupu;Rabat;Status zamówienia
2026/08/0001;01.08.2026;Fotel biurowy ERGO;Meble;1;899,00 zł;540,00 zł;0%;Zrealizowane
2026/08/0002;01.08.2026;Biurko regulowane 120;Meble;1;1 299,00 zł;870,00 zł;5%;Zrealizowane
2026/08/0003;02.08.2026;Lampka LED;Akcesoria;3;237,00 zł;120,00 zł;0%;Zrealizowane
2026/08/0004;03.08.2026;Mysz bezprzewodowa;Elektronika;2;158,00 zł;92,00 zł;10%;Wysłane
2026/08/0005;04.08.2026;Fotel biurowy ERGO;Meble;1;629,30 zł;540,00 zł;30%;Zrealizowane
2026/08/0006;05.08.2026;Klawiatura mechaniczna;Elektronika;1;349,00 zł;205,00 zł;0%;Zwrot
2026/08/0007;06.08.2026;Podkładka XXL;Akcesoria;4;196,00 zł;88,00 zł;0%;Zrealizowane
2026/08/0008;07.08.2026;Monitor 27";Elektronika;1;1 499,00 zł;1 060,00 zł;0%;Zrealizowane
2026/08/0009;08.08.2026;Regał biurowy;Meble;1;329,40 zł;380,00 zł;40%;Zrealizowane
2026/08/0010;09.08.2026;Hub USB-C;Elektronika;2;178,00 zł;110,00 zł;0%;Anulowane
2026/08/0011;10.08.2026;Słuchawki ANC;Elektronika;1;599,00 zł;340,00 zł;0%;Zrealizowane
2026/08/0012;11.08.2026;Organizer kabli;Akcesoria;10;199,00 zł;80,00 zł;0%;Oczekujące
2026/08/0013;12.08.2026;Dysk SSD 2TB;Elektronika;1;524,25 zł;540,00 zł;25%;Zrealizowane
2026/08/0014;13.08.2026;Stojak na laptopa;Akcesoria;2;238,00 zł;120,00 zł;0%;Zrealizowane
2026/08/0015;14.08.2026;Kamera 4K;Elektronika;1;449,00 zł;290,00 zł;0%;Zrealizowane
